"","mean","mcse","sd","CI_10","CI_20","CI_50","CI_80","CI_90","n_eff","Rhat","Species","trait"
"SpeciesACMI",0.191201956172165,0.000583748269372873,0.0404029478523033,0.140328828138295,0.157542043042657,0.190898627954145,0.225735107261217,0.243860978719568,4790,0.999300282622379,"ACMI","LDMC"
"SpeciesARTR",0.0832403318294158,0.000681576139244183,0.0405638895212876,0.0308174711462812,0.049236164087218,0.0835194784753498,0.117085734594096,0.134182968264802,3542,0.999687890753569,"ARTR","LDMC"
"SpeciesELTR",0.104180338851369,0.00055354305632852,0.0407083277866632,0.0513918116381375,0.0708044561143713,0.103689424036303,0.138376996407206,0.155897987716175,5408,0.999423444018511,"ELTR","LDMC"
"SpeciesHEAN",0.183125858765003,0.000643805412364991,0.0413793805506756,0.130044554486508,0.147540738303133,0.18385318376439,0.217396533838928,0.235917669830713,4131,1.00010490120637,"HEAN","LDMC"
"SpeciesHECO",0.123116453885118,0.000545731593695468,0.0401056081042059,0.0723642439862115,0.0897016942482073,0.121550088662049,0.157537781951149,0.173819355643475,5401,1.00007652152737,"HECO","LDMC"
"SpeciesHEVI",0.303894744454144,0.000679382754477525,0.0410571558628144,0.2510772822737,0.269509152686437,0.3042501564785,0.338463914083675,0.35672094701377,3652,1.00055914773593,"HEVI","LDMC"
"SpeciesMACA",0.153519153151043,0.000570591966948075,0.0402378038880931,0.102540781348504,0.119293699042237,0.153348894527047,0.187882063033287,0.205373486784316,4973,0.999756136869743,"MACA","LDMC"
"SpeciesMUPO",0.117208598122143,0.000608437538812554,0.0405553050923692,0.0651333227495004,0.0831049271922037,0.117283664391099,0.151284966170336,0.169144498599833,4443,0.999860489123886,"MUPO","LDMC"
"SpeciesPAMU",0.195818579403352,0.000572468561603391,0.0406292650063389,0.144482298144134,0.16252677930774,0.196365862859073,0.229397565899677,0.246914395424747,5037,1.00035800275108,"PAMU","LDMC"
"SpeciesPLPA",0.179471061884672,0.000550742362043432,0.0407817857900112,0.12848181510573,0.145445691286954,0.178910656312779,0.21406165819627,0.231854639593589,5483,0.999910195272908,"PLPA","LDMC"
"SpeciesACMI1",0.248131404250247,0.000709826146458772,0.0470160984506985,0.187561755894353,0.209370426267926,0.247913788563847,0.286634680260153,0.309265023633536,4387,1.00019568715027,"ACMI","RDMC"
"SpeciesARTR1",0.116642940690765,0.000654735208960698,0.0462749991809853,0.0589938584118996,0.0784139317507623,0.11645581611425,0.154975516717311,0.176479861683649,4995,0.999716934182034,"ARTR","RDMC"
"SpeciesELTR1",0.108018964366181,0.0006129329914503,0.0450325925430922,0.0506457830060759,0.0701945323621544,0.107769772244177,0.146048726361576,0.165385202746491,5398,0.999543048548559,"ELTR","RDMC"
"SpeciesHEAN1",0.13870816979583,0.00065849426705813,0.0458758620920611,0.0804548399294535,0.100938749608606,0.139350865441926,0.176869463884573,0.196886118996872,4854,1.00008388204097,"HEAN","RDMC"
"SpeciesHECO1",0.0582578209784298,0.000661103700902732,0.0465829636012942,-0.00175744860066732,0.0190643733968426,0.0584834002858867,0.0974672263454821,0.117465187635816,4965,0.999726037901489,"HECO","RDMC"
"SpeciesHEVI1",0.175531800148739,0.000656448991090251,0.0456350922425342,0.118063943500438,0.137913524781959,0.175781803742385,0.213067331118847,0.23432800764345,4833,0.999813529896614,"HEVI","RDMC"
"SpeciesMACA1",0.13330507447766,0.00063270700382319,0.046355385423149,0.0726773113453377,0.0954144503978077,0.134042536233933,0.172103037297713,0.192458447367967,5368,0.999269240011484,"MACA","RDMC"
"SpeciesMUPO1",0.237181180983065,0.000729300345188305,0.0465035945890561,0.178027324599669,0.198065543308566,0.236408775585493,0.275761109374345,0.296953528885106,4066,0.999274962878087,"MUPO","RDMC"
