"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"1","h1","ACMI",-1.12533900639378,-0.729501163984669,-0.121498959629723,0.50121959384637,0.87384685127295,"rel_SLA2"
"2","h1","ARTR",-0.638613386853577,-0.342382683456733,0.125409365857316,0.640763530088269,0.954455682758932,"rel_SLA2"
"3","h1","ELTR",-1.04366895072181,-0.717491580944479,-0.195811685114013,0.342923570891174,0.657520141219663,"rel_SLA2"
"4","h1","HEAN",0.43571967201566,0.825896851996295,1.48162289575759,2.10770675932692,2.49110888061719,"rel_SLA2"
"5","h1","HECO",-1.01281050344456,-0.72747561811598,-0.239505116975537,0.244683622713706,0.57054970541026,"rel_SLA2"
"6","h1","HEVI",-0.447450661215603,-0.0810438808422179,0.671235608464129,1.39087899599895,1.76221247334508,"rel_SLA2"
"7","h1","MACA",1.32492922091256,1.67231491752146,2.22257557590915,2.72939405378176,3.01813234323762,"rel_SLA2"
"8","h1","MUPO",-0.748737845375678,-0.399835863611162,0.181446563344467,0.723961201378307,1.05643977321916,"rel_SLA2"
"9","h1","PAMU",-1.31940760043692,-0.896224708228536,-0.21815456113227,0.51341185370396,0.963599594711805,"rel_SLA2"
"10","h1","PLPA",-0.987327704468243,-0.680552265290464,-0.2189466214405,0.233662601892955,0.512588821738522,"rel_SLA2"
"11","h1","VUOC",-0.799820261578343,-0.522572382247115,-0.0230065542390952,0.454333773719807,0.767109148630192,"rel_SLA2"
"12","h2","ACMI",-0.689332178806255,-0.43126997106453,0.0931847950958433,0.600043166602237,0.865883715247872,"rel_SLA2"
"13","h2","ARTR",NA,NA,NA,NA,NA,"rel_SLA2"
"14","h2","ELTR",NA,NA,NA,NA,NA,"rel_SLA2"
"15","h2","HEAN",NA,NA,NA,NA,NA,"rel_SLA2"
"16","h2","HECO",NA,NA,NA,NA,NA,"rel_SLA2"
"17","h2","HEVI",NA,NA,NA,NA,NA,"rel_SLA2"
"18","h2","MACA",NA,NA,NA,NA,NA,"rel_SLA2"
"19","h2","MUPO",NA,NA,NA,NA,NA,"rel_SLA2"
"20","h2","PAMU",NA,NA,NA,NA,NA,"rel_SLA2"
"21","h2","PLPA",NA,NA,NA,NA,NA,"rel_SLA2"
"22","h2","VUOC",NA,NA,NA,NA,NA,"rel_SLA2"
"23","h3","ACMI",-1.18260207326642,-0.893336522163326,-0.409951672069736,0.101791950411228,0.355724595684109,"rel_SLA2"
"24","h3","ARTR",-1.29902944775729,-0.947152434249355,-0.295499916358425,0.341772972815011,0.683853570188732,"rel_SLA2"
"25","h3","ELTR",-1.29230875653924,-0.952334093581048,-0.273194626094135,0.459286942706199,0.822706610127815,"rel_SLA2"
"26","h3","HEAN",-1.54615230375196,-1.12492703375821,-0.352223750233168,0.412979925192297,0.833956246584162,"rel_SLA2"
"27","h3","HECO",-1.28280246345612,-0.949864334480757,-0.258509084249593,0.399746459739459,0.734451787817387,"rel_SLA2"
"28","h3","HEVI",-1.27645266790856,-0.923304478433168,-0.21126315470872,0.52662137796953,0.902369741525558,"rel_SLA2"
