"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"1","h2","ACMI",0.043428968451418,0.0599782405202191,0.0826597312438691,0.102405523142179,0.113715817216521,"RER"
"2","h2","ARTR",0.0499963871865617,0.0666979118274094,0.0888353060092106,0.106080763282078,0.116655844405543,"RER"
"3","h2","ELTR",0.0442992162928329,0.0615635683889962,0.0848371531870683,0.106024288576288,0.118306516521767,"RER"
"4","h2","HEAN",0.0600584790525635,0.078039447441254,0.101317100632544,0.122383957098827,0.134091173568666,"RER"
"5","h2","HECO",0.049067427616129,0.0663179052861386,0.0896023139502633,0.109403113873157,0.119763588551498,"RER"
"6","h2","HEVI",0.0617793094071384,0.0806813305985485,0.105220976725634,0.126717113376344,0.138071556169042,"RER"
"7","h2","MACA",0.0899269881444764,0.110122072690542,0.134560961276598,0.152495743681813,0.162603029375961,"RER"
"8","h2","MUPO",0.0570606744920657,0.0746582923030404,0.100963656219384,0.122681446021803,0.134627251093112,"RER"
"9","h2","PAMU",0.0280349520576377,0.0423113297385056,0.0624353800039361,0.0813403671649031,0.0948022586340992,"RER"
"10","h2","PLPA",0.00556315154174058,0.0215746686698997,0.0424091179680222,0.061549880681981,0.0730387410278664,"RER"
"11","h2","VUOC",0.0502636671857175,0.0679681973929136,0.0911659208091325,0.111705949791109,0.12240404552338,"RER"
"12","h2","ACMI",0.0299320438340464,0.0381682024923473,0.05423869468618,0.069888345507579,0.0780280842907527,"RER"
"13","h2","ARTR",NA,NA,NA,NA,NA,"RER"
"14","h2","ELTR",NA,NA,NA,NA,NA,"RER"
"15","h2","HEAN",NA,NA,NA,NA,NA,"RER"
"16","h2","HECO",NA,NA,NA,NA,NA,"RER"
"17","h2","HEVI",NA,NA,NA,NA,NA,"RER"
"18","h2","MACA",NA,NA,NA,NA,NA,"RER"
"19","h2","MUPO",NA,NA,NA,NA,NA,"RER"
"20","h2","PAMU",NA,NA,NA,NA,NA,"RER"
"21","h2","PLPA",NA,NA,NA,NA,NA,"RER"
"22","h2","VUOC",NA,NA,NA,NA,NA,"RER"
"23","h3","ACMI",0.058486597942341,0.0669887712466535,0.0835921554415825,0.100233803122922,0.109842801505586,"RER"
"24","h3","ARTR",0.0884337153519561,0.0993179073434688,0.120940028050433,0.143091791486899,0.154180487276966,"RER"
"25","h3","ELTR",0.0132084109894027,0.0263164311679887,0.0495248540479588,0.0743479835522726,0.0870913137780221,"RER"
"26","h3","HEAN",0.0446165450035732,0.0573013030411586,0.0812628979261138,0.104604826491937,0.116389507600262,"RER"
"27","h3","HECO",0.0334953088748678,0.0452232690507485,0.0672963594753935,0.0909006262881207,0.102204546366489,"RER"
"28","h3","HEVI",0.0191861396831781,0.0317077104917234,0.0564717046479848,0.0805034612032277,0.0925177918165872,"RER"
"29","h3","MACA",0.0756489680727486,0.0866167141268284,0.109143392641673,0.130414695426628,0.141926197714828,"RER"
"30","h3","MUPO",0.0665864663842486,0.0804791892955255,0.107207704007265,0.133336531817309,0.147207921591374,"RER"
"31","h3","PAMU",0.0371755379023588,0.0494921382093756,0.0716478059879687,0.0944594938024471,0.105535827207913,"RER"
"32","h3","PLPA",0.0897654514160975,0.100943903550391,0.122622844393675,0.144758044819492,0.15495146828353,"RER"
"33","h3","VUOC",0.0851799941277387,0.097615844945265,0.120293930017502,0.141903448476318,0.153645247689548,"RER"
"34","h4","ACMI",NA,NA,NA,NA,NA,"RER"
"35","h4","ARTR",0.0221681665320507,0.0340494208241875,0.0566518268967259,0.0795814172678833,0.0907820199151016,"RER"
"36","h4","ELTR",0.0297779457240475,0.0432296101901733,0.0677921900612679,0.0923922095658203,0.105570530804946,"RER"
"37","h4","HEAN",0.0563576457066617,0.0700017270519392,0.0967729816474644,0.123471643532428,0.138183926278516,"RER"
"38","h4","HECO",0.0143802685823289,0.0265471318129655,0.0501547467751304,0.0736847140122708,0.0853696251333681,"RER"
"39","h4","HEVI",0.00995792784968232,0.0234175853309915,0.0477426282833823,0.0725504899991192,0.085519356944035,"RER"
"40","h4","MACA",0.0196226821606392,0.0303972623623021,0.0540726960871163,0.0762816425539938,0.0882725662612532,"RER"
"41","h4","MUPO",0.028526139764662,0.0422929550617407,0.0685748012955427,0.0951421428058409,0.109825798084581,"RER"
"42","h4","PAMU",0.053794419712824,0.0668242631223425,0.0898184651763353,0.11264982499795,0.125413080532971,"RER"
"43","h4","PLPA",0.0254430203511281,0.0372808288537437,0.0598314834226124,0.0823593821342659,0.093956373353062,"RER"
"44","h4","VUOC",0.0523447664150443,0.0644751916594788,0.0876670630415236,0.110172136195828,0.122380647375429,"RER"
"45","h2","ACMI",0.0240422620245944,0.0415275456571561,0.0654661960510727,0.0898914369337923,0.103797283964715,"RGR_Tot"
"46","h2","ARTR",0.0368038587384025,0.05308467545244,0.0762928503983157,0.0971516286015866,0.109804036957,"RGR_Tot"
"47","h2","ELTR",0.0227167835721784,0.0384841039176938,0.0641757145544261,0.0886132788745784,0.102669712414019,"RGR_Tot"
"48","h2","HEAN",0.0117378498751192,0.0290424118467133,0.0540730069292699,0.0783628967428502,0.0915423573646583,"RGR_Tot"
"49","h2","HECO",0.0392223066240664,0.0559806512795056,0.0796635440849974,0.102842358441523,0.114759410320542,"RGR_Tot"
"50","h2","HEVI",0.0343356176561577,0.0498284955127349,0.0771778380415224,0.100723539019468,0.115059800580137,"RGR_Tot"
"51","h2","MACA",0.0302300021217331,0.0457211726177392,0.0689805837808025,0.0909662580856788,0.104761806419197,"RGR_Tot"
"52","h2","MUPO",0.0289849896055843,0.0453899845817941,0.0731121271893342,0.0999178244184875,0.113220937148137,"RGR_Tot"
"53","h2","PAMU",-0.039903092087733,-0.0256655792653002,-0.00207722582695107,0.0189677867433298,0.0342275428284758,"RGR_Tot"
"54","h2","PLPA",0.0546421828972055,0.0733563275545834,0.0965770100896553,0.118553804035292,0.131030488096105,"RGR_Tot"
"55","h2","VUOC",0.0955489001058482,0.112871284425907,0.13824631711894,0.161517113107755,0.174250702582731,"RGR_Tot"
"56","h2","ACMI",0.0313125759388632,0.0426819357112432,0.0635519701038257,0.084213824738067,0.0956158043582363,"RGR_Tot"
"57","h2","ARTR",NA,NA,NA,NA,NA,"RGR_Tot"
"58","h2","ELTR",NA,NA,NA,NA,NA,"RGR_Tot"
"59","h2","HEAN",NA,NA,NA,NA,NA,"RGR_Tot"
"60","h2","HECO",NA,NA,NA,NA,NA,"RGR_Tot"
"61","h2","HEVI",NA,NA,NA,NA,NA,"RGR_Tot"
"62","h2","MACA",NA,NA,NA,NA,NA,"RGR_Tot"
"63","h2","MUPO",NA,NA,NA,NA,NA,"RGR_Tot"
"64","h2","PAMU",NA,NA,NA,NA,NA,"RGR_Tot"
"65","h2","PLPA",NA,NA,NA,NA,NA,"RGR_Tot"
"66","h2","VUOC",NA,NA,NA,NA,NA,"RGR_Tot"
"67","h3","ACMI",0.0795942708742704,0.0901063459596434,0.110842528071586,0.131812493088209,0.143071687860762,"RGR_Tot"
"68","h3","ARTR",0.099601670954333,0.112941892507363,0.141823849110516,0.169852186138788,0.184744971843688,"RGR_Tot"
"69","h3","ELTR",0.0192939799157791,0.0367380951965567,0.0670498933989737,0.0970061553323115,0.113732203305181,"RGR_Tot"
"70","h3","HEAN",0.0327562717375291,0.0504724235616372,0.0817759498098124,0.113242057992433,0.129812462772222,"RGR_Tot"
"71","h3","HECO",0.00249912041057698,0.0186044735339377,0.0456638249197977,0.0745755526469827,0.0909464785527621,"RGR_Tot"
"72","h3","HEVI",0.0232640717616316,0.0400617533979516,0.0711423725842588,0.102441608571516,0.117265422659541,"RGR_Tot"
"73","h3","MACA",0.0654457783576993,0.0785579231559588,0.107170720547173,0.136460402506928,0.151168866916583,"RGR_Tot"
"74","h3","MUPO",0.0666606155164138,0.0842130909407847,0.117764606224215,0.151026125325572,0.168221523814127,"RGR_Tot"
"75","h3","PAMU",0.0283123499266143,0.0439891590735254,0.0747612254830608,0.10356079739351,0.118666672419934,"RGR_Tot"
"76","h3","PLPA",0.0537388605941744,0.0677839414016463,0.0961447562281457,0.123411319060491,0.138629815724522,"RGR_Tot"
"77","h3","VUOC",0.0753790324669002,0.0907401234739514,0.118475028078128,0.149516889112647,0.165344809875268,"RGR_Tot"
"78","h4","ACMI",NA,NA,NA,NA,NA,"RGR_Tot"
"79","h4","ARTR",-0.016144832683172,-0.00184937527013265,0.0250208679180828,0.052347588061235,0.0692546220747691,"RGR_Tot"
"80","h4","ELTR",0.00386187999992392,0.0200775446427926,0.0510767164882849,0.0804527922625587,0.0976349444722841,"RGR_Tot"
"81","h4","HEAN",0.013203088407959,0.0306408020751688,0.0622474309841205,0.0958386921367834,0.112732806660928,"RGR_Tot"
"82","h4","HECO",-0.0245541920768832,-0.00894328186979167,0.018300997772603,0.0474343838208868,0.062856006505409,"RGR_Tot"
"83","h4","HEVI",-0.0235556863803824,-0.0067974626270936,0.0232094851707251,0.0533124384803793,0.0694790066525059,"RGR_Tot"
"84","h4","MACA",-0.0139535649977766,-0.000992700265160143,0.0273058680925547,0.0554154701941191,0.0702124070091764,"RGR_Tot"
"85","h4","MUPO",2.24770977119426e-05,0.0174485049096237,0.0503839351963385,0.0835427840218992,0.10128827821736,"RGR_Tot"
"86","h4","PAMU",0.0229121647365966,0.0375139343631382,0.0674242783863059,0.0965274246667075,0.111697650938975,"RGR_Tot"
"87","h4","PLPA",-0.0317869371562671,-0.0181935484255153,0.0103397964205838,0.0386482035846189,0.0537800434102415,"RGR_Tot"
"88","h4","VUOC",-0.00106938462795508,0.0140811892309139,0.0433462959315061,0.0726153695743355,0.0900633755129643,"RGR_Tot"
"89","h2","ACMI",-0.00330587747906086,0.011791417862425,0.0370923976481382,0.0636551889701591,0.0787653689526629,"RGR_Below"
"90","h2","ARTR",0.0338068636003594,0.0490512479115791,0.0732395127874179,0.0959529275723788,0.111340814416155,"RGR_Below"
