"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"1","h1","ACMI",-7.17786001880446,5.83656748363182,25.4421638112646,43.7570907556016,55.2372865170054,"SLA"
"2","h1","ARTR",7.59644516234974,19.5918280907464,36.3773707985587,53.2270270457175,63.4713529373948,"SLA"
"3","h1","ELTR",64.4871735344534,76.8800531800661,94.2202788159346,109.210787619009,118.076252817803,"SLA"
"4","h1","HEAN",-10.2780344119364,0.509740093475037,17.5116245313647,34.2856668974242,45.8472706621442,"SLA"
"5","h1","HECO",14.2097244407436,26.2957475583384,41.9732809247069,57.1199882312759,66.9962298370499,"SLA"
"6","h1","HEVI",-36.6519974424484,-22.6671723477236,1.87279042784774,26.5734131094404,40.2590627702339,"SLA"
"7","h1","MACA",-14.6138724196256,-2.38340214916305,14.3967057969627,31.6744621204961,43.7269438176444,"SLA"
"8","h1","MUPO",-5.0437138916979,7.58418345585812,24.9876551214402,41.9345534409954,51.9731004987047,"SLA"
"9","h1","PAMU",-9.04268641512324,4.23524774151695,27.5466016731813,51.0893096731084,63.8376385486117,"SLA"
"10","h1","PLPA",59.8294115511766,73.2146361182687,87.9060084337937,101.17744745691,110.244243810235,"SLA"
"11","h1","VUOC",84.8030582709275,98.8684416717816,115.620260547936,129.715628324044,139.648306122738,"SLA"
"12","h2","ACMI",13.1664279648035,20.4096280552469,33.6634530458651,47.4229052249521,54.5991758202469,"SLA"
"13","h2","ARTR",-4.80037997946548,4.41639063468639,22.0298207972033,39.3199345088637,48.6911530759344,"SLA"
"14","h2","ELTR",26.95880277677,35.8143573107282,52.9029955467475,70.0118341650648,79.2752772441839,"SLA"
"15","h2","HEAN",5.35894044483665,15.3135030230547,32.9884487826815,50.4165169592609,59.6957111654437,"SLA"
"16","h2","HECO",-4.82201082160972,4.53564449222643,20.7910259952349,38.2987104091248,46.0731898409502,"SLA"
"17","h2","HEVI",-1.04700651356051,12.1363643171832,36.267688896155,60.4840715146041,73.0672631384358,"SLA"
"18","h2","MACA",12.4138355167345,20.9123788703966,38.3818333353351,55.6602654167497,65.0115990248,"SLA"
"19","h2","MUPO",-14.0440176867985,-5.06180489084839,12.9172097226431,31.3454290041402,41.7828883728078,"SLA"
"20","h2","PAMU",25.8261625032385,35.451441328956,52.8961055547655,69.7929923935764,78.747374110155,"SLA"
"21","h2","PLPA",28.0366569825408,36.7528478036839,52.5135113707189,68.7954163779215,76.9568404298599,"SLA"
"22","h2","VUOC",73.5901504604077,82.6954879863491,99.0454054493747,115.702408005853,123.905256191044,"SLA"
"23","h3","ACMI",16.2998365903458,23.6426732410322,38.6128560702996,52.9337234897778,59.9274446410392,"SLA"
"24","h3","ARTR",-16.8080224385901,-6.95231955191146,11.4361982288396,29.2797379711185,38.1636903920233,"SLA"
"25","h3","ELTR",14.4481838044651,23.6958304195315,41.7871634512078,59.7884514771771,69.4647795012119,"SLA"
"26","h3","HEAN",-8.61088643657633,0.791609004260817,19.2696454559838,38.5557825457326,47.6500250118896,"SLA"
"27","h3","HECO",-12.9747549334968,-4.55519550433037,12.9038111764787,30.198872016283,39.1143599578174,"SLA"
"28","h3","HEVI",-22.3923936408122,-11.0637602007742,14.5855592692139,38.7106850120727,51.1933096995781,"SLA"
"29","h3","MACA",-6.62866745949941,2.93300556529551,21.9498293439913,40.7494897024659,50.8742610586682,"SLA"
"30","h3","MUPO",-22.2197307873262,-12.4914659415333,6.32143455287302,25.3907771439581,36.0431379997747,"SLA"
"31","h3","PAMU",10.6837957023525,20.0383301122489,38.3371531421114,55.9126297462448,65.73353773102,"SLA"
"32","h3","PLPA",3.29429216422578,11.9281900916858,28.6763162285699,45.4651960193112,54.3766857533454,"SLA"
"33","h3","VUOC",29.3838029591682,39.0058277928524,56.1404560046039,74.1712577518336,82.9361002081739,"SLA"
