"","SAMPLE_ID","SumOfLength.cm.","SumOfProjArea.cm2.","SumOfSurfArea.cm2.","SumOfAvgDiam.mm.","SumOfRootVolume.cm3.","STEM","COTS_TOTAL","LEAF_TOTAL","Total.Of.PROJ_AREA_AG","LEAF","LEAVES_TOTAL","TRANSP_DATE","GERM_ID","COLOR","TLD","HD","H_num_og","HT","L_num","C_num","PWF","L.SFW","CWS","CWD","LWS","LWD","SWS","SWD","RWF","RWD","LWF_A","LWS_A","LWD_A","LWF_B","LWS_B","LWD_B","BWF_A","BWS_A","BWD_A","SWF_A","SWD_A","NOTES","AVG_SEED_WEIGHT","SPECIES","LOCATION_CODE","POP_CODE","SAMPLE_NUM","H_num","LETTER","POP_ID","GrowthForm","LWD_tmp","RWD_tmp","SLA","LW_Max_A","LW_Max_B","BW_Max","LW_Max_Sum","Grass_LW_Max","LDMC","SRL","RDMC","RTD","RMR","Above_weight_sum","Tot_weight_sum","Days"
"1","ACMI_NMNC_CM_1_H4_O",1039.1887,32.7809,102.9844,0.3154,0.812,NA,0,0,NA,NA,0,"20-Jul","A3","O","7-Aug","12-Oct",4,13,7,NA,2.2032,1.007,NA,NA,0.6828,0.1242,0.0087,NA,0.93,0.0718,0.3836,0.3841,0.0472,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","1","H4","O","ACMI_NMNC_CM","FORB",0.1242,0.0718,0,0.3841,NA,NA,0.3841,1.007,0.122884665451705,14.4733802228412,0.0772043010752688,0.088423645320197,0.295230263157895,0.1714,0.2432,"84"
"2","ACMI_NMNC_CM_12_H2_G",8.3005,0.1461,0.4588,0.176,0.002,NA,0.028,0,0.0596,NA,0.0316,"2-Aug","C8","G","15-Aug","25-Aug",2,0.5,2,2,0.0033,0.0017,4e-04,0,0.0016,0.000185,NA,NA,0.0012,0.00011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","12","H2","G","ACMI_NMNC_CM","FORB",0.000185,0.00011,17.0810810810811,NA,NA,NA,NA,0.0017,0.115625,75.4590909090909,0.0916666666666667,0.055,0.372881355932203,0.000185,0.000295,"24"
"3","ACMI_NMNC_CM_12_H2_O",3.3632,0.0763,0.2396,0.2267,0.001,NA,0.0416,0,0.0774,NA,0.0358,"2-Aug","C8","O","15-Aug","25-Aug",2,0.7,3,2,0.0036,0.0025,9e-04,0,0.0015,0.000196,NA,NA,0.011,0.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","12","H2","O","ACMI_NMNC_CM","FORB",0.000196,0.00014,18.265306122449,NA,NA,NA,NA,0.0025,0.130666666666667,24.0228571428571,0.0127272727272727,0.14,0.416666666666667,0.000196,0.000336,"24"
"4","ACMI_NMNC_CM_14_H1_G",4.1629,0.0651,0.2044,0.1563,0.001,NA,0.0414,0,0.0563,NA,0.0149,"2-Aug","D2","G","9-Aug","11-Aug",1,0.6,2,2,0.002,0.0015,0.0037,0,0.0013,NA,NA,NA,3e-04,8.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","14","H1","G","ACMI_NMNC_CM","FORB",NA,8.6e-05,NA,NA,NA,NA,NA,0.0015,NA,48.4058139534884,0.286666666666667,0.086,NA,0,8.6e-05,"10"
"5","ACMI_NMNC_CM_14_H1_O",3.4333,0.0504,0.1582,0.1467,0.001,NA,0.0465,0,0.0646,NA,0.0181,"2-Aug","D3","O","9-Aug","11-Aug",1,0.7,2,2,0.0025,0.0017,0.002,9e-04,6e-04,NA,7e-04,0,0,7.07e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","14","H1","O","ACMI_NMNC_CM","FORB",NA,7.07e-05,NA,NA,NA,NA,NA,0.0017,NA,48.5615275813296,NA,0.0707,0.0728340372926754,9e-04,0.0009707,"10"
"6","ACMI_NMNC_CM_15_H2_G",62.2957,1.0764,3.3814,0.5179,0.014,NA,0.0823,0,0.3896,NA,0.3073,"2-Aug","D10","G","14-Aug","25-Aug",2,1.5,3,2,0.0202,0.0099,0.0029,0,0.0092,0.0011,NA,5e-04,0.0041,4e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","15","H2","G","ACMI_NMNC_CM","FORB",0.0011,4e-04,27.9363636363636,NA,NA,NA,NA,0.0099,0.119565217391304,155.73925,0.0975609756097561,0.0285714285714286,0.2,0.0016,0.002,"24"
"7","ACMI_NMNC_CM_15_H2_O",28.5946,0.4793,1.5057,0.1676,0.006,NA,0.0736,0,0.5152,NA,0.4416,"2-Aug","D10","O","14-Aug","25-Aug",2,1.3,2,2,0.0202,0.0109,0.0013,0,0.0115,9e-04,NA,NA,0.0075,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","15","H2","O","ACMI_NMNC_CM","FORB",9e-04,8e-04,49.0666666666667,NA,NA,NA,NA,0.0115,0.0782608695652174,35.74325,0.106666666666667,0.133333333333333,0.470588235294118,9e-04,0.0017,"24"
"8","ACMI_NMNC_CM_17_H3_G",26.15,0.4037,1.2682,0.1544,0.005,NA,0.0348,0,1.8325,NA,1.7977,"4-Aug","C1","G","14-Aug","15-Sep",3,3.1,8,NA,0.0566,0.0499,NA,NA,0.0432,0.0042,NA,NA,0.0066,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","17","H3","G","ACMI_NMNC_CM","FORB",0.0042,7e-04,42.802380952381,NA,NA,NA,NA,0.0499,0.0972222222222222,37.3571428571429,0.106060606060606,0.14,0.142857142857143,0.0042,0.0049,"42"
"9","ACMI_NMNC_CM_18_H1_G",0.3631,0.0074,0.0234,0.2048,0,NA,0.0194,0,0.0194,NA,0,"4-Aug","B1","G","14-Aug","14-Aug",1,0.8,0,2,0.0016,0.0029,0.0015,4e-04,NA,NA,NA,NA,1e-04,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","18","H1","G","ACMI_NMNC_CM","FORB",NA,5e-05,NA,NA,NA,NA,NA,0.0029,NA,7.262,0.5,NA,0.111111111111111,4e-04,0.00045,"10"
"10","ACMI_NMNC_CM_18_H1_O",5.0644,0.1163,0.3653,0.2296,0.002,NA,0.0614,0,0.0614,NA,0,"4-Aug","C3","O","14-Aug","14-Aug",1,0.6,2,2,0.004,0.006,0.0023,0.001,0.0021,8e-04,0.0011,0,0.0023,9e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","18","H1","O","ACMI_NMNC_CM","FORB",8e-04,9e-04,0,NA,NA,NA,NA,0.006,0.380952380952381,5.62711111111111,0.391304347826087,0.45,0.333333333333333,0.0018,0.0027,"10"
"11","ACMI_NMNC_CM_2_H3_O",28.7008,0.4697,1.4757,0.1637,0.006,NA,0.0441,0,0.4037,NA,0.3596,"20-Jul","B2","O","3-Aug","31-Aug",3,2.5,5,2,0.0188,0.0109,6e-04,0,0.008,0.0011,6e-04,0,0.0064,2e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","2","H3","O","ACMI_NMNC_CM","FORB",0.0011,2e-04,32.6909090909091,NA,NA,NA,NA,0.0109,0.1375,143.504,0.03125,0.0333333333333333,0.153846153846154,0.0011,0.0013,"42"
"12","ACMI_NMNC_CM_3_H3_G",18.8451,0.3342,1.0498,0.1773,0.005,NA,0.0556,0,0.463,NA,0.4074,"20-Jul","A7","G","3-Aug","31-Aug",3,2.9,5,2,0.0163,0.0113,4e-04,0,0.0078,6e-04,5e-04,0,0.003,0.0002795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","3","H3","G","ACMI_NMNC_CM","FORB",6e-04,0.0002795,67.9,NA,NA,NA,NA,0.0113,0.0769230769230769,67.4243291592129,0.0931666666666667,0.0559,0.317794201250711,6e-04,0.0008795,"42"
"13","ACMI_NMNC_CM_8_H4_O",6970.3049,209.5745,658.3977,0.882,4.967,NA,0,20.3113,20.3113,20.3113,0,"2-Aug","C11","O","21-Aug","26-Oct",4,20.6,27,NA,13.7131,7.5109,NA,NA,7.5109,1.0343,5e-04,0,0.003,NA,0.8755,0.7912,0.136,NA,NA,NA,NA,NA,NA,NA,NA,"",7.75e-05,"ACMI","NMNC","CM","8","H4","O","ACMI_NMNC_CM","FORB",1.0343,0.0210115020667926,14.9347794117647,0.8755,NA,NA,0.8755,7.5109,0.155339805825243,NA,NA,NA,NA,1.1703,1.1703,"84"
"14","ACMI_UTNW_CCC_1_H1_B",4.9697,0.1108,0.348,0.2229,0.002,NA,0,0,NA,NA,0,"22-Aug","E6","B","","1-Sep",1,0.3,NA,NA,0.0012,9e-04,NA,8.2e-05,0,NA,0,0,0.0012,7.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Need ~6 more",7.25e-05,"ACMI","UTNW","CCC","1","H1","B","ACMI_UTNW_CCC","FORB",NA,7.6e-05,NA,NA,NA,NA,NA,9e-04,NA,65.3907894736842,0.0633333333333333,0.038,0.481012658227848,8.2e-05,0.000158,"10"
"15","ACMI_UTNW_CCC_1_H1_R",0.018,3e-04,9e-04,0.1573,0,NA,0.0263,0,0.0263,NA,0,"22-Aug","E9","R","","1-Sep",1,0.15,1,2,0.0021,0.0018,0.001,NA,9e-04,1.273e-05,NA,0,4e-04,3.06e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thinned 3, 4, 5 (9/19)",7.25e-05,"ACMI","UTNW","CCC","1","H1","R","ACMI_UTNW_CCC","FORB",1.273e-05,3.06e-05,0,NA,NA,NA,NA,0.0018,0.0141444444444444,0.588235294117647,0.0765,NA,0.70620816985922,1.273e-05,4.333e-05,"10"
"16","ACMI_UTNW_CCC_2_H2_B",4.9829,0.086,0.27,0.1725,0.001,NA,0.0238,0.0727,0.0965,0.0727,0,"22-Aug","E10","B","5-Aug","15-Sep",2,1.2,3,2,0.0035,0.0025,3e-04,7e-05,0.0014,7e-05,9e-05,0,8e-04,9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,7 whole plant and leaves did NOT resaturate",7.25e-05,"ACMI","UTNW","CCC","2","H2","B","ACMI_UTNW_CCC","FORB",7e-05,9e-05,103.857142857143,NA,NA,NA,NA,0.0025,0.05,55.3655555555555,0.1125,0.09,0.391304347826087,0.00014,0.00023,"24"
"17","ACMI_UTNW_CCC_2_H2_R",3.7238,0.067,0.2105,0.1799,0.001,NA,0.0028,0,0.0325,NA,0.0297,"22-Aug","E11","R","","15-Sep",2,1.2,2,2,0.0025,0.0017,0.001,1e-04,4e-04,NA,7e-04,0,9e-04,5.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","2","H2","R","ACMI_UTNW_CCC","FORB",NA,5.5e-05,NA,NA,NA,NA,NA,0.0017,NA,67.7054545454545,0.0611111111111111,0.055,0.354838709677419,1e-04,0.000155,"24"
"18","ACMI_UTNW_CCC_4_H4_R",1778.0251,58.0745,182.4465,0.3266,1.49,NA,0,14.6509,14.6509,NA,0,"22-Aug","F4","R","5-Sep","17-Nov",4,19,NA,NA,7.284,4.6356,NA,NA,NA,0.5147,NA,NA,1.7384,0.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.25e-05,"ACMI","UTNW","CCC","4","H4","R","ACMI_UTNW_CCC","FORB",0.5147,0.1343,NA,NA,NA,NA,NA,4.6356,0.111032013115886,13.2392040208488,0.0772549470777727,0.0901342281879195,0.20693374422188,0.5147,0.649,"84"
