"","H_num","POP_ID","Above_weight_avg","Tot_weight_avg","Below_weight_avg","RE_avg","RGR_Above_ln","RGR_Below_ln","RGR_Tot_ln","RER_ln","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm","Days"
"ACMI_NMNC_CM.1","H1","ACMI_NMNC_CM",0.000775,0.001051675,0.000276675,3.255925,NA,NA,NA,NA,"ACMI","NMNC","CM","FORB","10"
"ACMI_NMNC_CM.2","H2","ACMI_NMNC_CM",0.00072025,0.00108275,0.0003625,25.6385,-0.00523318967062204,0.0192986387245629,0.00207999784918973,0.14740133675172,"ACMI","NMNC","CM","FORB","24"
"ACMI_NMNC_CM.3","H3","ACMI_NMNC_CM",0.00196666666666667,0.00235983333333333,0.000393166666666667,24.5653,0.055805387070059,0.00451161866027168,0.0432826052201211,-0.00237556944208622,"ACMI","NMNC","CM","FORB","42"
"ACMI_NMNC_CM.4","H4","ACMI_NMNC_CM",0.67085,0.70675,0.0718,4004.7468,0.138862035780784,0.123985860591826,0.135763952416641,0.121283351392539,"ACMI","NMNC","CM","FORB","84"
"ACMI_UTNW_CCC.5","H1","ACMI_UTNW_CCC",4.7365e-05,0.000100665,5.33e-05,2.49385,NA,NA,NA,NA,"ACMI","UTNW","CCC","FORB","10"
"ACMI_UTNW_CCC.6","H2","ACMI_UTNW_CCC",0.000103033333333333,0.000169366666666667,6.63333333333333e-05,4.13096666666667,0.0555120715101759,0.0156254432060418,0.0371619869752332,0.0360488384434395,"ACMI","UTNW","CCC","FORB","24"
"ACMI_UTNW_CCC.7","H3","ACMI_UTNW_CCC",3e-04,0.00069575,0.00039575,13.59595,0.0593738841214578,0.0992272312613743,0.0784958005819124,0.0661811397202258,"ACMI","UTNW","CCC","FORB","42"
"ACMI_UTNW_CCC.8","H4","ACMI_UTNW_CCC",0.375766666666667,0.469366666666667,0.0936,1240.9798,0.169831933040674,0.130142927707251,0.155098789210269,0.107473441752415,"ACMI","UTNW","CCC","FORB","84"
"ACMI_UTNW_VE.9","H1","ACMI_UTNW_VE",0.000130666666666667,0.000226666666666667,9.6e-05,2.79093333333333,NA,NA,NA,NA,"ACMI","UTNW","VE","FORB","10"
"ACMI_UTNW_VE.10","H2","ACMI_UTNW_VE",0.0016725,0.0017805,0.000108,7.368875,0.182101802920002,0.00841307397545599,0.147226356658271,0.0693492129085987,"ACMI","UTNW","VE","FORB","24"
"ACMI_UTNW_VE.11","H3","ACMI_UTNW_VE",0.0035625,0.0049375,0.001375,55.938375,0.0420079462541401,0.141337654609803,0.056664717027308,0.112610310537931,"ACMI","UTNW","VE","FORB","42"
"ACMI_UTNW_VE.12","H4","ACMI_UTNW_VE",0.2343,0.2987,0.0644,872.393666666667,0.0996699952361662,0.0915871405236136,0.0976804903570196,0.0654045270538921,"ACMI","UTNW","VE","FORB","84"
"ARTR_UTC_MC.13","H1","ARTR_UTC_MC",0.000149,0.000205333333333333,5.63333333333333e-05,2.41293333333333,NA,NA,NA,NA,"ARTR","UTC","MC","FORB","10"
"ARTR_UTC_MC.14","H2","ARTR_UTC_MC",0.000655,0.0009285,0.0002735,11.6157,0.105763494977842,0.112858228257648,0.107781121851954,0.112251033797632,"ARTR","UTC","MC","FORB","24"
"ARTR_UTC_MC.15","H3","ARTR_UTC_MC",0.0166666666666667,0.0245666666666667,0.0079,152.9415,0.179807264450385,0.186850912032949,0.181976411595364,0.143205436890727,"ARTR","UTC","MC","FORB","42"
"ARTR_UTC_MC.16","H4","ARTR_UTC_MC",0.2445,0.329566666666667,0.0850666666666667,1499.1009,0.0639477283846402,0.0565850596030845,0.0618187654692332,0.0543467931438707,"ARTR","UTC","MC","FORB","84"
"ARTR_UTSC_B.17","H1","ARTR_UTSC_B",0.000495025,0.000786275,0.00029125,4.7276,NA,NA,NA,NA,"ARTR","UTSC","B","FORB","10"
"ARTR_UTSC_B.18","H2","ARTR_UTSC_B",0.00125,0.0017315,0.0004815,15.6956,0.0661636117108921,0.035908873311305,0.0563883399879243,0.0857116245816096,"ARTR","UTSC","B","FORB","24"
"ARTR_UTSC_B.19","H3","ARTR_UTSC_B",0.0142,0.0187333333333333,0.00453333333333333,73.1761666666667,0.135005467405167,0.124572586212103,0.132295354631733,0.0855271865370431,"ARTR","UTSC","B","FORB","42"
"ARTR_UTSC_B.20","H4","ARTR_UTSC_B",0.514133333333333,0.6942,0.180066666666667,1957.38703333333,0.0854581112043085,0.0876635630622978,0.0860108484570512,0.0782499033469225,"ARTR","UTSC","B","FORB","84"
"ARTR_UTSE_MO.21","H1","ARTR_UTSE_MO",0.0002315,0.000325,9.35e-05,2.3231,NA,NA,NA,NA,"ARTR","UTSE","MO","FORB","10"
"ARTR_UTSE_MO.22","H2","ARTR_UTSE_MO",0.0015,0.001692,0.000288,8.50126666666667,0.133474322397429,0.0803570745600932,0.117845811274031,0.0926651908112152,"ARTR","UTSE","MO","FORB","24"
"ARTR_UTSE_MO.23","H3","ARTR_UTSE_MO",0.018525,0.024475,0.00595,122.296975,0.139647559059666,0.168232556577985,0.148430051512919,0.148124285340301,"ARTR","UTSE","MO","FORB","42"
"ARTR_UTSE_MO.24","H4","ARTR_UTSE_MO",0.339066666666667,0.435166666666667,0.0961,1293.89476666667,0.0692160850880406,0.0662380499147311,0.0685256407393929,0.0561657104658783,"ARTR","UTSE","MO","FORB","84"
"ARTR_UTSW_BJ.25","H1","ARTR_UTSW_BJ",0.0006625,0.00079875,0.00013625,6.052575,NA,NA,NA,NA,"ARTR","UTSW","BJ","FORB","10"
"ARTR_UTSW_BJ.26","H2","ARTR_UTSW_BJ",0.001325,0.00174875,0.00042375,11.6467,0.049510512897139,0.0810465875108077,0.0559720371634247,0.0467527911968501,"ARTR","UTSW","BJ","FORB","24"
"ARTR_UTSW_BJ.27","H3","ARTR_UTSW_BJ",0.01255,0.017275,0.004725,86.2526,0.1249060114522,0.133971065624066,0.127242173480899,0.111236517905651,"ARTR","UTSW","BJ","FORB","42"
"ARTR_UTSW_BJ.28","H4","ARTR_UTSW_BJ",0.1661,0.2191,0.053,748.09335,0.0614968893105109,0.0575577226811051,0.0604825684987545,0.0514344659349585,"ARTR","UTSW","BJ","FORB","84"
"ARTR_UTSW_MV.29","H1","ARTR_UTSW_MV",0.00068125,0.000785,0.000138333333333333,3.02035,NA,NA,NA,NA,"ARTR","UTSW","MV","FORB","10"
"ARTR_UTSW_MV.30","H2","ARTR_UTSW_MV",0.0011,0.00131866666666667,0.000218666666666667,13.6271333333333,0.0342240080577863,0.0327058763366708,0.0370494775922917,0.10762072746464,"ARTR","UTSW","MV","FORB","24"
"ARTR_UTSW_MV.31","H3","ARTR_UTSW_MV",0.0131666666666667,0.0161333333333333,0.00296666666666667,35.76085,0.137909900190813,0.144869209265341,0.139125911109007,0.0535994897989714,"ARTR","UTSW","MV","FORB","42"
"ARTR_UTSW_MV.32","H4","ARTR_UTSW_MV",0.334066666666667,0.4247,0.0906333333333333,1012.13636666667,0.0769917188242512,0.0814138827357222,0.0778689407682083,0.0795944016867225,"ARTR","UTSW","MV","FORB","84"
"ARTR_UTSW_OCR.33","H1","ARTR_UTSW_OCR",0.00028775,0.00035525,9e-05,2.653975,NA,NA,NA,NA,"ARTR","UTSW","OCR","FORB","10"
"ARTR_UTSW_OCR.34","H2","ARTR_UTSW_OCR",0.000980333333333333,0.001447,0.000466666666666667,14.8003666666667,0.087557185877421,0.117557539757498,0.100316139975305,0.122756674222578,"ARTR","UTSW","OCR","FORB","24"
"ARTR_UTSW_OCR.35","H3","ARTR_UTSW_OCR",0.0175,0.0205,0.003,56.301225,0.160114639445873,0.103375130039723,0.147274024360834,0.0742257965615513,"ARTR","UTSW","OCR","FORB","42"
"ARTR_UTSW_OCR.36","H4","ARTR_UTSW_OCR",0.78215,0.9864,0.20425,2044.00635,0.0904725156447217,0.100493629644572,0.0922294539453755,0.0855226372530122,"ARTR","UTSW","OCR","FORB","84"
"ELTR_NMNW_C.37","H1","ELTR_NMNW_C",0.002125,0.003275,0.00115,31.0503,NA,NA,NA,NA,"ELTR","NMNW","C","GRASS","10"
"ELTR_NMNW_C.38","H2","ELTR_NMNW_C",0.0042,0.010825,0.006625,170.4279,0.0486651944937816,0.125077744964081,0.0853957432000955,0.121621704515595,"ELTR","NMNW","C","GRASS","24"
"ELTR_NMNW_C.39","H3","ELTR_NMNW_C",0.0264,0.039575,0.013175,291.85535,0.102126638047942,0.03819281791973,0.072018851771029,0.0298858871905265,"ELTR","NMNW","C","GRASS","42"
