"","Var2","Freq.A","Freq.B","dist","Trait","Species"
"ACMI LDMC.1","A",0.236274206349206,0.158473245578425,0.197090469845629,"LDMC","ACMI"
"ACMI LDMC.3","B",0.236274206349206,0.114990076931481,0.345278854670258,"LDMC","ACMI"
"ACMI LDMC.5","C",0.236274206349206,0.116289780187385,0.340319575293231,"LDMC","ACMI"
"ACMI LDMC.7","D",0.158473245578425,0.114990076931481,0.159009143339023,"LDMC","ACMI"
"ACMI LDMC.9","E",0.158473245578425,0.116289780187385,0.153526717335665,"LDMC","ACMI"
"ACMI LDMC.11","F",0.114990076931481,0.116289780187385,0.00561961284521038,"LDMC","ACMI"
"ACMI RDMC.1","A",0.243736622073579,0.0878001051944141,0.470344622643016,"RDMC","ACMI"
"ACMI RDMC.3","B",0.243736622073579,0.0798620370670149,0.506413053261031,"RDMC","ACMI"
"ACMI RDMC.5","C",0.243736622073579,0.0769597838605661,0.520045859969071,"RDMC","ACMI"
"ACMI RDMC.7","D",0.0878001051944141,0.0798620370670149,0.047345620307187,"RDMC","ACMI"
"ACMI RDMC.9","E",0.0878001051944141,0.0769597838605661,0.065794662742402,"RDMC","ACMI"
"ACMI RDMC.11","F",0.0798620370670149,0.0769597838605661,0.0185066924314636,"RDMC","ACMI"
"ACMI RER_ln.7","D",0.0842664627012528,0.0588052936053568,0.177960834151861,"RER_ln","ACMI"
"ACMI RER_ln.9","E",0.0842664627012528,0.0980537733996155,0.0756213955906404,"RER_ln","ACMI"
"ACMI RER_ln.11","F",0.0588052936053568,0.0980537733996155,0.250214925688769,"RER_ln","ACMI"
"ACMI RGR_Above_ln.7","D",0.0774602282531854,0.0523957391485523,0.193017614870871,"RGR_Above_ln","ACMI"
"ACMI RGR_Above_ln.9","E",0.0774602282531854,0.136121321352541,0.274654309829875,"RGR_Above_ln","ACMI"
"ACMI RGR_Above_ln.11","F",0.0523957391485523,0.136121321352541,0.444127348376002,"RGR_Above_ln","ACMI"
"ACMI RGR_Below_ln.7","D",0.0144457186353535,0.0816921681771496,0.699479172794241,"RGR_Below_ln","ACMI"
"ACMI RGR_Below_ln.9","E",0.0144457186353535,0.115238642940897,0.77721726105179,"RGR_Below_ln","ACMI"
"ACMI RGR_Below_ln.11","F",0.0816921681771496,0.115238642940897,0.170346501765225,"RGR_Below_ln","ACMI"
"ACMI RGR_Tot_ln.7","D",0.0621561138275645,0.0594810409431139,0.0219922349342516,"RGR_Tot_ln","ACMI"
"ACMI RGR_Tot_ln.9","E",0.0621561138275645,0.12951441066131,0.351427518724483,"RGR_Tot_ln","ACMI"
"ACMI RGR_Tot_ln.11","F",0.0594810409431139,0.12951441066131,0.370555847369169,"RGR_Tot_ln","ACMI"
"ACMI RMR.1","A",0.360714305782901,0.273776419153951,0.137019948774827,"RMR","ACMI"
"ACMI RMR.3","B",0.360714305782901,0.335506274621273,0.0362069606546155,"RMR","ACMI"
"ACMI RMR.5","C",0.360714305782901,0.218728683957883,0.245038121677052,"RMR","ACMI"
"ACMI RMR.7","D",0.273776419153951,0.335506274621273,0.101315622613262,"RMR","ACMI"
"ACMI RMR.9","E",0.273776419153951,0.218728683957883,0.111770893028833,"RMR","ACMI"
"ACMI RMR.11","F",0.335506274621273,0.218728683957883,0.210700514025247,"RMR","ACMI"
"ACMI RTD.1","A",0.14774,0.0671428571428571,0.375074791580795,"RTD","ACMI"
"ACMI RTD.3","B",0.14774,0.0708788807616394,0.351575851868725,"RTD","ACMI"
"ACMI RTD.5","C",0.14774,0.0976793404273165,0.203980091730014,"RTD","ACMI"
"ACMI RTD.7","D",0.0671428571428571,0.0708788807616394,0.0270683710805566,"RTD","ACMI"
"ACMI RTD.9","E",0.0671428571428571,0.0976793404273165,0.18526924003339,"RTD","ACMI"
"ACMI RTD.11","F",0.0708788807616394,0.0976793404273165,0.158998235011234,"RTD","ACMI"
"ACMI SLA.1","A",21.6428571428571,34.1344520646707,0.223954778372988,"SLA","ACMI"
"ACMI SLA.3","B",21.6428571428571,40.5766638365462,0.304306532670941,"SLA","ACMI"
"ACMI SLA.5","C",21.6428571428571,18.2786393318822,0.0842708342134349,"SLA","ACMI"
"ACMI SLA.7","D",34.1344520646707,40.5766638365462,0.0862282900498159,"SLA","ACMI"
"ACMI SLA.9","E",34.1344520646707,18.2786393318822,0.302516266648438,"SLA","ACMI"
"ACMI SLA.11","F",40.5766638365462,18.2786393318822,0.378861772928991,"SLA","ACMI"
"ACMI SRL.1","A",27.1925613202018,69.9368652856841,0.440075736665495,"SRL","ACMI"
"ACMI SRL.3","B",27.1925613202018,65.1916293802416,0.411315699925891,"SRL","ACMI"
"ACMI SRL.5","C",27.1925613202018,14.0992445215881,0.317092375392369,"SRL","ACMI"
"ACMI SRL.7","D",69.9368652856841,65.1916293802416,0.0351164713051382,"SRL","ACMI"
"ACMI SRL.9","E",69.9368652856841,14.0992445215881,0.664447948532524,"SRL","ACMI"
"ACMI SRL.11","F",65.1916293802416,14.0992445215881,0.644366524726554,"SRL","ACMI"
"ARTR LDMC.1","A",0.133617324033991,0.138428999502189,0.0176869711218808,"LDMC","ARTR"
"ARTR LDMC.3","B",0.133617324033991,0.138063536423185,0.0163655709191736,"LDMC","ARTR"
"ARTR LDMC.5","C",0.133617324033991,0.176518302161453,0.138329732232784,"LDMC","ARTR"
"ARTR LDMC.7","D",0.138428999502189,0.138063536423185,0.00132178280249442,"LDMC","ARTR"
"ARTR LDMC.9","E",0.138428999502189,0.176518302161453,0.12093865373053,"LDMC","ARTR"
"ARTR LDMC.11","F",0.138063536423185,0.176518302161453,0.122240895759537,"LDMC","ARTR"
"ARTR RDMC.1","A",0.131525415637645,0.105753360770692,0.108615086680158,"RDMC","ARTR"
"ARTR RDMC.3","B",0.131525415637645,0.0885946458206085,0.195033426452039,"RDMC","ARTR"
"ARTR RDMC.5","C",0.131525415637645,0.123831493444141,0.0301300725371792,"RDMC","ARTR"
"ARTR RDMC.7","D",0.105753360770692,0.0885946458206085,0.0882886078999867,"RDMC","ARTR"
"ARTR RDMC.9","E",0.105753360770692,0.123831493444141,0.0787427059823935,"RDMC","ARTR"
"ARTR RDMC.11","F",0.0885946458206085,0.123831493444141,0.165878115308665,"RDMC","ARTR"
"ARTR RER_ln.7","D",0.0946263403457542,0.102653118839041,0.0406873504543007,"RER_ln","ARTR"
"ARTR RER_ln.9","E",0.0946263403457542,0.0675523186385608,0.166939484373291,"RER_ln","ARTR"
"ARTR RER_ln.11","F",0.102653118839041,0.0675523186385608,0.206226080204395,"RER_ln","ARTR"
"ARTR RGR_Above_ln.7","D",0.0794488559864184,0.146231807000684,0.295917913968918,"RGR_Above_ln","ARTR"
"ARTR RGR_Above_ln.9","E",0.0794488559864184,0.0745971747427455,0.0314950097753758,"RGR_Above_ln","ARTR"
"ARTR RGR_Above_ln.11","F",0.146231807000684,0.0745971747427455,0.324389632612477,"RGR_Above_ln","ARTR"
"ARTR RGR_Below_ln.7","D",0.0767390299556705,0.143645243292028,0.303588873881027,"RGR_Below_ln","ARTR"
