"","Days","POP_ID","LDMC","RDMC","RMR","RTD","SLA","SRL","rel_LDMC2","rel_RDMC2","rel_RMR2","rel_RTD2","rel_SLA2","rel_SRL2","H_num","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm"
"ACMI_NMNC_CM.1","10","ACMI_NMNC_CM",0.380952380952381,0.392657004830918,0.17242616057904,0.202233333333333,NA,27.4641131614823,NA,NA,NA,NA,NA,NA,"H1","ACMI","NMNC","CM","FORB"
"ACMI_NMNC_CM.52","24","ACMI_NMNC_CM",0.111029438405797,0.0771553954175905,0.365034064473247,0.0892261904761905,28.0873543766401,72.741112012987,-0.708547724184783,-0.803504344839552,1.11704571537981,-0.558795827544797,NA,1.64858768915228,"H2","ACMI","NMNC","CM","FORB"
"ACMI_NMNC_CM.103","42","ACMI_NMNC_CM",0.103881766381766,0.0768257575757576,0.204832499318002,0.0764111111111111,47.7977633477634,82.7618240054519,-0.0643763683457262,-0.00427238872989845,-0.438867439361911,-0.143624638647988,0.701753846475343,0.137758575792405,"H3","ACMI","NMNC","CM","FORB"
"ACMI_NMNC_CM.154","84","ACMI_NMNC_CM",0.139112235638474,0.0772043010752688,0.295230263157895,0.088423645320197,7.46738970588235,14.4733802228412,0.339140067442013,0.00492729927378805,0.441325298186934,0.157209259679764,-0.843771147793011,-0.825120091337187,"H4","ACMI","NMNC","CM","FORB"
"ACMI_UTNW_CCC.2","10","ACMI_UTNW_CCC",0.0141444444444444,0.0699166666666667,0.593610414043534,0.038,NA,32.9895123839009,NA,NA,NA,NA,NA,NA,"H1","ACMI","UTNW","CCC","FORB"
"ACMI_UTNW_CCC.53","24","ACMI_UTNW_CCC",0.0825833333333333,0.0758703703703704,0.394936935766806,0.0663333333333333,67.1239404589622,63.7779910213243,4.83857030636292,0.085154284200768,-0.334686645612247,0.74561403508772,NA,0.933280803885067,"H2","ACMI","UTNW","CCC","FORB"
"ACMI_UTNW_CCC.104","42","ACMI_UTNW_CCC",0.106060606060606,0.0894585020242915,0.544572158365262,0.0694166666666667,33.8625,40.2641690600522,0.28428584533529,0.179096682770745,0.37888383953738,0.0464824120603012,-0.495522763287375,-0.368682386897546,"H3","ACMI","UTNW","CCC","FORB"
"ACMI_UTNW_CCC.155","84","ACMI_UTNW_CCC",0.114716438901382,0.0736077767665526,0.197977104118209,0.0833005661774013,23.0895489794099,13.2369137159239,0.081612138213029,-0.1771852300124,-0.636453863685371,0.200008156217066,-0.318138088463347,-0.671248307740274,"H4","ACMI","UTNW","CCC","FORB"
"ACMI_UTNW_VE.3","10","ACMI_UTNW_VE",0.275,0.144615384615385,0.393738378813006,0.094,43.2857142857143,22.9658581560284,NA,NA,NA,NA,NA,NA,"H1","ACMI","UTNW","VE","FORB"
"ACMI_UTNW_VE.54","24","ACMI_UTNW_VE",0.272324929971989,0.126984126984127,0.0916483863750124,0.0456666666666667,23.6868055555556,71.751774256651,-0.0097275273745864,-0.121918270854441,-0.767235323487381,-0.51418439716312,-0.452780069673634,2.12428012788265,"H2","ACMI","UTNW","VE","FORB"
"ACMI_UTNW_VE.105","42","ACMI_UTNW_VE",0.127786045279205,0.0773410142068197,0.328978664226732,0.0674608150470219,38.5179211214065,64.4777135714286,-0.530758916224272,-0.390939513121295,2.58957399294077,0.477244125117269,0.626134053030736,-0.10137812981744,"H3","ACMI","UTNW","VE","FORB"
"ACMI_UTNW_VE.156","84","ACMI_UTNW_VE",0.102648151172662,0.0802302852163454,0.213979737397554,0.115143346379605,22.2788659841969,14.8368634268347,-0.196718617057272,0.0373575526408209,-0.349563480353608,0.706818192151206,-0.421597393224442,-0.769891601221275,"H4","ACMI","UTNW","VE","FORB"
