"","H_num","SPECIES","value","trait"
"1","H1","ACMI",86.5714285714286,"SLA"
"2","H2","ACMI",37.9271689607452,"SLA"
"3","H3","ACMI",40.5766638365462,"SLA"
"4","H4","ACMI",21.3250792205292,"SLA"
"5","H1","ARTR",40.1024832305061,"SLA"
"6","H2","ARTR",32.7563411383682,"SLA"
"7","H3","ARTR",25.7649617912595,"SLA"
"8","H4","ARTR",23.4709171324584,"SLA"
"9","H1","ELTR",98.313835781038,"SLA"
"10","H2","ELTR",62.4030907892611,"SLA"
"11","H3","ELTR",58.4347019114366,"SLA"
"12","H4","ELTR",56.7891802014544,"SLA"
"13","H1","HEAN",31.9926373626374,"SLA"
"14","H2","HEAN",42.7293712450835,"SLA"
"15","H3","HEAN",33.5570832786535,"SLA"
"16","H4","HEAN",23.1164185519665,"SLA"
"17","H1","HECO",43.7974238872092,"SLA"
"18","H2","HECO",31.8678167266273,"SLA"
"19","H3","HECO",28.3484220995799,"SLA"
"20","H4","HECO",27.880720839217,"SLA"
"21","H1","HEVI",NA,"SLA"
"22","H2","HEVI",45.6403364817001,"SLA"
"23","H3","HEVI",27.2109592004058,"SLA"
"24","H4","HEVI",33.2120963316554,"SLA"
"25","H1","MACA",28.1225694444444,"SLA"
"26","H2","MACA",47.9598562268682,"SLA"
"27","H3","MACA",36.755123879058,"SLA"
"28","H4","MACA",25.8175577814765,"SLA"
"29","H1","MUPO",25.3142409281639,"SLA"
"30","H2","MUPO",23.3388991355172,"SLA"
"31","H3","MUPO",20.7316055546338,"SLA"
"32","H4","MUPO",50.1827453679056,"SLA"
"33","H1","PAMU",NA,"SLA"
"34","H2","PAMU",64.8622171357371,"SLA"
"35","H3","PAMU",51.1729067371485,"SLA"
"36","H4","PAMU",23.3030697357681,"SLA"
"37","H1","PLPA",88.7088454199395,"SLA"
"38","H2","PLPA",67.5060296719901,"SLA"
"39","H3","PLPA",45.6075969107497,"SLA"
"40","H4","PLPA",162.400633826787,"SLA"
"41","H1","VUOC",120.451369887108,"SLA"
"42","H2","VUOC",112.15284517597,"SLA"
"43","H3","VUOC",74.3588875088368,"SLA"
"44","H4","VUOC",66.0566213752435,"SLA"
"45","H1","ACMI",0.236274206349206,"LDMC"
"46","H2","ACMI",0.158473245578425,"LDMC"
