POP_ID,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,AVG_SEED_WEIGHT
ACMI_NMNC_CM,0.0009,0.0005,0.0008,0.0009,0.0000775
ACMI_UTNW_CCC,0.0008,0.0008,0.0005,0.0008,0.0000725
ACMI_UTNW_VE,0.0011,0.0013,0.0009,0.0012,0.0001125
ARTR_UTSE_MO,0.0024,0.0028,0.0039,0.0044,0.0003375
ARTR_UTC_MC,0.0032,0.0033,0.0027,0.0016,0.00027
ARTR_UTSC_B,0.0031,0.0034,0.0029,0.002,0.000285
ARTR_UTSW_BJ,0.0022,0.0014,0.0029,0.002,0.0002125
ARTR_UTSW_MV,0.0014,0.0029,0.0021,0.0033,0.0002425
ARTR_UTSW_OCR,0.0023,0.0027,0.0031,0.0033,0.000285
ELTR_NMNW_C,0.0047,0.0047,0.0037,0.0048,0.004475
ELTR_UTC_TMC,0.0027,0.0029,0.0034,0.0035,0.0003125
ELTR_UTSW_DNF,0.0041,0.0044,0.0039,0.0042,0.00415
ELTR_UTSW_SP,0.0021,0.0027,0.0018,0.0033,0.0002475
HEAN_AZSE_HWD,0.0012,0.0014,0.0012,0.0012,0.001265417
HEAN_UTEC_CI,0.0588,0.0607,0.0519,0.0627,0.0058525
HEAN_UTEC_ONWR,0.0066,0.0073,0.006,0.0076,0.00686225
HEAN_UTSE_VNS,0.0066,0.0073,0.006,0.0076,0.00686225
HECO_AZNC_KV,0.1022,0.1124,0.096,0.1023,0.0103225
HECO_UTC_KRRS,0.0647,0.0571,0.0545,0.0559,0.005805
HECO_UTC_TMR,0.0623,0.0674,0.0597,0.0662,0.00639
HECO_UTEC_GRC,0.0913,0.0873,0.0801,0.0821,0.00852
HECO_UTSW_SPR,0.0891,0.0954,0.0937,0.0889,0.0091775
HEVI_AZNC_KV,0.0064,0.006,0.0068,0.005,0.000605
HEVI_COSW_DE,0.004,0.0045,0.0045,0.0042,0.00043
HEVI_NMNW_NC,0.0042,0.0048,0.0052,0.005,0.00048
HEVI_NMNW_ND,0.0038,0.0043,0.0045,0.0037,0.0004075
MACA_NMNW_CU,0.0018,0.0026,0.0023,0.0023,0.000225
MACA_NMNW_FC,0.0031,0.0026,0.0035,0.0029,0.0003025
MACA_UTC_MK,0.0012,0.0012,0.001,0.0011,0.00113
MACA_UTNE_BON,0.002,0.0025,0.0021,0.0022,0.00022
MACA_UTSE_CSR,0.0028,0.003,0.0023,0.0027,0.00027
MACA_UTSW_BJ,0.0006,0.0008,0.0006,0.0023,0.00108
MUPO_AZSE_BRR,0.0025,0.0017,0.0019,0.0019,0.0002
MUPO_AZSE_MRR,0.0022,0.0023,0.0023,0.002,0.00022
MUPO_AZSE_SIT,0.0013,0.0017,0.0019,0.0016,0.0001625
PAMU_AZNC_WMR,0.0047,0.0049,0.005,0.0051,0.0004925
PAMU_UTC_WR,0.0041,0.0033,0.0042,0.004,0.00039
PAMU_UTEC_MC,0.004,0.004,0.004,0.004,0.0004
PAMU_UTSE_MO,0.0048,0.0053,0.0051,0.0053,0.0005125
PAMU_UTSW_CP,0.0042,0.004,0.0035,0.0042,0.0003975
PLPA_AZC_TC,0.0172,0.0164,0.0155,0.0157,0.00162
PLPA_AZNE_HB,0.0108,0.01,0.0103,0.0116,0.0010675
PLPA_COSW_UP,0.0117,0.01,0.013,0.0111,0.001145
PLPA_UTNE_BWR,0.0093,0.0095,0.0108,0.0107,0.0010075
PLPA_UTSC_BTR,0.0075,0.0084,0.0083,0.0108,0.000875
PLPA_UTSW_HR,0.0068,0.006,0.0084,0.0074,0.000715
VUOC_AZSW_WB,0.0051,0.0053,0.0059,0.0057,0.00055
VUOC_UTC_GRC,0.0033,0.0043,0.0033,0.0034,0.0003575
VUOC_UTSE_IM,0.0056,0.0052,0.0054,0.0042,0.00051
VUOC_UTSE_LM,0.0044,0.0054,0.0054,0.0042,0.000485
VUOC_UTSW_HR,0.003,0.0026,0.0029,0.0035,0.0003
